Localidad,Imagen,Planta,Flor,PC1S,PC2S,PC3S,PC4S,PC5S,PC6S,PC7S,PC8S,PC9S,PC10S,PC1A,PC2A,PC3A,PC4A,PC5A,PC6A,PC7A,PC8A,PC9A,PC10A
CC023,CC023_P02_F003a_181126_SEF_pm.mat,2,3,63.67299841,-14.0611379,12.55658216,-5.816999484,-16.31112799,-5.168445178,8.768479353,-4.285381813,-0.523676886,5.123738295,2140.288282,1839.766244,73.23599307,637.5907431,1218.36472,-1092.078656,773.4684308,208.1681502,1163.533884,-620.2904531
CC023,CC023_P02_F003b_181126_SEF_pm.mat,2,3,101.9742731,-20.18551678,-0.621576233,-6.449600185,0.608743261,1.238277177,0.359236559,-1.198835947,1.113882243,0.621303525,-281.0609007,3188.157632,1231.446844,2052.540768,11.67956405,-2232.412717,184.0678604,82.25015119,408.131507,612.3802183
CC023,CC023_P02_F003c_181126_SEF_pm.mat,3,3,117.2870914,-18.52852941,16.0849615,1.3328267,-14.3030291,7.284572794,-3.175083497,-8.071875251,-6.474492958,2.79236736,3284.38988,2493.513986,1587.911555,1263.81386,-2148.805049,-2160.385553,365.5628562,-26.10756744,-743.5844461,442.837003
CC023,CC023_P03_F010a_181127_SEF_pm.mat,3,10,62.18853809,2.051457367,24.60507949,2.345466033,-12.37964468,-6.155123237,3.073697508,-6.528593903,6.98371128,2.457634617,821.9939972,4992.095226,1366.693324,565.0554726,3636.145908,583.7785873,-1225.474329,-839.2689611,-547.6101961,569.5395952
CC023,CC023_P03_F010b_181127_SEF_pm.mat,3,10,96.33140115,20.36780752,-17.12357907,-3.03549956,11.0846199,-6.847048322,-5.824723621,2.978818588,0.368196431,-1.807526538,-3378.261376,2891.8142,2057.562352,2849.515677,2053.456276,1106.413531,-617.5994994,-1468.655118,-531.8008853,576.3426356
CC023,CC023_P03_F010c_181127_SEF_pm.mat,3,10,79.34868323,-12.77163311,2.088235977,-8.98292522,-10.47792289,-3.496092514,-6.154469667,-1.043159389,-3.152243482,0.169453852,-4159.890224,2040.497264,928.8205512,2448.937524,232.1488295,-1150.041218,-544.3350961,-1186.115023,651.2510299,437.3375819
CC023,CC023_P03_F011a_181127_SEF_pm.mat,3,11,75.39546049,-13.59398764,2.008065735,-8.503981881,17.05659997,-8.848603986,-5.567135139,-1.879763151,-3.166801362,0.234442534,-962.4627058,3170.049983,72.78315605,322.485448,-1932.51652,-830.0476211,-994.8545104,-1437.633965,-1005.55794,397.0380538
CC023,CC023_P03_F011b_181127_SEF_pm.mat,3,11,93.06059352,14.94942815,-14.91080809,-8.577414419,-19.06664757,-5.12512244,-2.13994734,-2.231664936,5.822125787,-1.209923343,-2624.890597,4226.67947,468.2175372,1416.673138,-838.2075128,-844.5539021,-403.787292,-1534.232893,-371.6682993,208.7127652
CC023,CC023_P03_F011c_181127_SEF_pm.mat,3,11,90.76157383,39.2063935,-6.475501973,8.830606807,-6.004444004,-2.763093515,6.585597107,-2.561109328,0.636128075,-5.297815559,-3542.914604,2021.80204,1341.541909,1301.834287,62.91347691,-408.5359729,-647.335548,-1494.971744,425.563054,65.35769055
CC023,CC023_P03_F012a_181127_SEF_pm.mat,3,12,67.40875922,38.55836622,-5.866278107,3.413716256,-13.74748446,-5.561397843,4.407635656,-1.014072326,0.723284717,-0.367094902,-3740.517594,2519.885276,470.6423206,516.160969,2301.100514,269.9470774,-474.5208331,-1237.960499,103.0574783,-287.5388655
