"Localidad","Planta","Areola","X_1","Y_1","X_2","Y_2","Num_esp","long_esp","dist_are","angulo","angulo_corr","posicion"
"CC034","P01","A06",0.09,0.464,0.639,2.877,"10",2.47466563397967,0.472647860462734,79.0229137447519,10.9770862552481,"A"
"CC034","P01","A06",-0.043,0.473,-0.279,2.867,"11",2.4056042899862,0.474950523739052,95.1944426521098,354.80555734789,"A"
"CC034","P01","A06",-0.147,0.435,-2.654,2.385,"12",3.17609020652752,0.459166636418632,108.671722585082,341.328277414918,"L"
"CC034","P01","A06",-0.308,0.274,-3.544,2.195,"13",3.76323491161527,0.412237795453061,138.343396118639,311.656603881361,"K"
"CC034","P01","A06",-0.336,0.17,-4.178,1.164,"14",3.96850097643934,0.376558096447281,153.162784008152,296.837215991848,"K"
"CC034","P01","A06",-0.345,-0.019,-4.67,0.312,"15",4.33764751910526,0.345522792301752,-176.847790103993,266.847790103993,"J"
"CC034","P01","A06",-0.326,-0.17,-4.291,-0.255,"16",3.96591099244549,0.367662889070953,-152.459224648013,242.459224648013,"I"
"CC034","P01","A06",-0.27,-0.312,-3.25,-2.157,"17",3.50491440694348,0.412606349926901,-130.872427193126,220.872427193126,"H"
"CC034","P01","A06",-0.203,-0.435,-2.437,-2.858,"18",3.29570705615654,0.480035415360159,-115.016910084485,205.016910084485,"H"
"CC034","P01","A06",-0.128,-0.568,-1.415,-3.198,"19",2.92801451499134,0.58224393513372,-102.699599317583,192.699599317583,"G"
"CC034","P01","A07",-0.118,-0.579,-0.402,-4.315,"1",3.74677888325426,0.590901853102527,-101.519124288724,191.519124288724,"G"
"CC034","P01","A07",0.01,-0.549,1.157,-4.305,"2",3.92723121295398,0.549091067128213,-88.9564892705305,178.95648927053,"G"
"CC034","P01","A07",0.127,-0.48,2.991,-3.354,"3",4.05738487205737,0.496516867790008,-75.1800928472282,165.180092847228,"G"
"CC034","P01","A07",0.216,-0.353,3.452,-2.991,"4",4.17501377243237,0.41384175719712,-58.5376273883522,148.537627388352,"F"
"CC034","P01","A07",0.226,-0.245,4.315,-1.334,"5",4.23152951070886,0.333318166321609,-47.3100490515274,137.310049051527,"F"
"CC034","P01","A07",0.294,-0.069,4.697,0.039,"6",4.40432435227016,0.301988410373643,-13.207930369768,103.207930369768,"D"
"CC034","P01","A07",0.343,0.108,4.677,0.922,"7",4.40977913279112,0.359601167962508,17.4775911907234,72.5224088092766,"C"
"CC034","P01","A07",0.314,0.314,3.844,2.373,"8",4.08660996426133,0.444063058585152,45.0000064971961,44.9999935028039,"B"
"CC034","P01","A07",0.284,0.471,2.608,3.118,"9",3.52244020531222,0.549997272720511,58.9111912253936,31.0888087746064,"B"
"CC034","P01","A07",0.177,0.52,1.451,3.383,"10",3.1336631918571,0.549298643726707,71.2022260229473,18.7977739770527,"B"
"CC034","P01","A07",0.088,0.53,0.343,3.53,"11",3.01081799516344,0.537255991125274,80.5727541574055,9.4272458425945,"A"
"CC034","P01","A07",-0.059,0.5,-0.971,3.56,"12",3.19301487625723,0.503468966272997,96.7297959271625,353.270204072837,"A"
"CC034","P01","A07",-0.137,0.49,-3.001,1.765,"13",3.13498341303427,0.508791705907241,105.620573548563,344.379426451437,"L"
"CC034","P01","A07",-0.255,0.431,-3.707,1.883,"14",3.74494432535385,0.500785383173271,120.610585258337,329.389414741663,"L"
"CC034","P01","A07",-0.333,0.265,-4.422,1.294,"15",4.21648692634046,0.425574905275205,141.487393669353,308.512606330647,"K"
"CC034","P01","A07",-0.353,0.069,-4.913,0.755,"16",4.6113117439618,0.35968041370083,168.940017397151,281.059982602849,"J"
"CC034","P01","A07",-0.402,-0.127,-4.864,-0.49,"17",4.47674133717819,0.421583918099351,-162.467634157598,252.467634157598,"I"
"CC034","P01","A07",-0.382,-0.284,-4.54,-0.824,"18",4.1929183154457,0.476004201662128,-143.370860207066,233.370860207066,"I"
"CC034","P01","A07",-0.294,-0.431,-3.177,-3.363,"19",4.11197191138266,0.521725023360007,-124.299268040405,214.299268040405,"H"
"CC034","P01","A07",-0.196,-0.549,-1.765,-3.932,"20",3.72913528850858,0.582938247158308,-109.647228329118,199.647228329118,"H"
"CC034","P01","A08",-0.073,-0.714,0.35,-4.356,"1",3.66648237415646,0.717722091063108,-95.8377012446268,185.837701244627,"G"
"CC034","P01","A08",0.058,-0.626,3.264,-3.045,"2",4.01621675211884,0.628681159253242,-84.7065699770832,174.706569977083,"G"
"CC034","P01","A08",0.16,-0.495,3.759,-2.375,"3",4.06044344868883,0.52021630116712,-72.0875010221826,162.087501022183,"F"
"CC034","P01","A08",0.219,-0.335,4.298,-1.501,"4",4.24238105313514,0.400232432468934,-56.8261049084583,146.826104908458,"F"
"CC034","P01","A08",0.277,-0.189,4.939,-0.306,"5",4.66346791561816,0.335335652742144,-34.306132387571,124.306132387571,"E"
"CC034","P01","A08",0.277,0.015,4.881,0.947,"6",4.69738650741026,0.27740583988085,3.09963256806281,86.9003674319372,"D"
"CC034","P01","A08",0.277,0.189,4.036,2.04,"7",4.1900217183208,0.335335652742144,34.306132387571,55.693867612429,"C"
"CC034","P01","A08",0.277,0.408,3.963,1.763,"8",3.92716449871915,0.493146022999274,55.8265792836323,34.1734207163677,"B"
"CC034","P01","A08",0.189,0.524,2.346,2.87,"9",3.18690523862885,0.557043086304821,70.1662941064767,19.8337058935233,"B"
"CC034","P01","A08",0.087,0.568,1.064,2.943,"10",2.56810319107313,0.574624225037546,81.2917535305896,8.7082464694104,"A"
"CC034","P01","A08",0,0.588,0.33,3.084,"11",2.51772039750247,0.588,90.0000129943923,359.999987005608,"A"
"CC034","P01","A08",-0.078,0.597,-0.894,2.958,"12",2.49803462746216,0.602073915727961,97.443730478249,352.556269521751,"A"
"CC034","P01","A08",-0.165,0.597,-2.215,2.734,"13",2.96129515583976,0.619381950011461,105.449851205729,344.550148794271,"L"
"CC034","P01","A08",-0.233,0.481,-3.497,0.928,"14",3.29446581405848,0.534462346662513,115.845911786611,334.154088213389,"L"
"CC034","P01","A08",-0.301,0.325,-4.225,1.025,"15",3.98594731525644,0.442974039871413,132.804451169782,317.195548830218,"L"
"CC034","P01","A08",-0.33,0.141,-4.594,0.957,"16",4.34137674015974,0.358860697207148,156.864325391067,293.135674608933,"K"
"CC034","P01","A08",-0.369,-0.044,-4.847,-0.024,"17",4.47804466257316,0.371614047097254,-173.200114732315,263.200114732315,"J"
"CC034","P01","A08",-0.374,-0.248,-4.92,-1.18,"18",4.64055384625585,0.448753830067221,-146.451599262494,236.451599262494,"I"
"CC034","P01","A08",-0.335,-0.384,-3.958,-2.171,"19",4.03973984310871,0.509589050117838,-131.101327904094,221.101327904094,"H"
"CC034","P01","A08",-0.248,-0.549,-2.083,-3.851,"20",3.77762213568271,0.602415969243844,-114.31015805756,204.31015805756,"H"
"CC034","P01","A08",-0.16,-0.646,-1.355,-4.113,"21",3.66716702646607,0.665519346074928,-103.910976353758,193.910976353758,"G"
"CC034","P01","A09",0,-0.627,0.239,-3.791,"1",3.17301386697253,0.627,-90.0000129943923,180.000012994392,"G"
"CC034","P01","A09",0.134,-0.552,1.448,-4.045,"2",3.73197601814374,0.568031689256858,-76.3551929237655,166.355192923766,"G"
"CC034","P01","A09",0.224,-0.373,3.045,-3.045,"3",3.88556623930155,0.435091944306028,-59.0136679220096,149.01366792201,"F"
"CC034","P01","A09",0.299,-0.254,3.896,-1.881,"4",3.94785232753202,0.392322571361883,-40.3478510669219,130.347851066922,"E"
"CC034","P01","A09",0.328,-0.119,4.418,-0.731,"5",4.13553430647117,0.348919761549844,-19.9410214216873,109.941021421687,"E"
"CC034","P01","A09",0.343,0.06,4.512,0.935,"6",4.25983403432575,0.348208271010325,9.92219490391971,80.0778050960803,"D"
"CC034","P01","A09",0.353,0.249,4.373,1.393,"7",4.17960955114231,0.431983795992396,35.1984760864722,54.8015239135278,"C"
"CC034","P01","A09",0.353,0.398,3.318,2.667,"8",3.7335754980983,0.531989661553681,48.4290761941174,41.5709238058826,"B"
"CC034","P01","A09",0.254,0.498,1.756,3.512,"9",3.36752134365916,0.55903488263256,62.9766014576165,27.0233985423835,"B"
"CC034","P01","A09",0.124,0.517,0.493,3.572,"10",3.07720425061451,0.531662486921919,76.5126610831276,13.4873389168724,"A"
"CC034","P01","A09",0.005,0.537,-1.896,2.925,"11",3.0522688282653,0.537023276962927,89.4665480769911,0.533451923008855,"A"
"CC034","P01","A09",-0.104,0.488,-2.274,3.204,"12",3.47642862719775,0.498958916144406,102.030610827933,347.969389172067,"A"
"CC034","P01","A09",-0.184,0.388,-3.547,2.358,"13",3.89752087871252,0.429418211071678,115.371578410688,334.628421589312,"L"
"CC034","P01","A09",-0.234,0.259,-4.403,1.642,"14",4.39240822328708,0.349051572120797,132.097040210572,317.902959789428,"L"
"CC034","P01","A09",-0.294,0.109,-4.662,1.234,"15",4.51054863625258,0.313555417749399,159.657846863168,290.342153136832,"K"
"CC034","P01","A09",-0.284,-0.109,-4.791,-0.239,"16",4.50887447152834,0.304198948058668,-159.003080095531,249.003080095531,"I"
"CC034","P01","A09",-0.274,-0.308,-4.264,-1.174,"17",4.08289799039849,0.412237795453061,-131.656642864537,221.656642864537,"H"
"CC034","P01","A09",-0.174,-0.438,-2.96,-3.005,"18",3.7883089895097,0.471296085279732,-111.66597484586,201.66597484586,"H"
"CC034","P01","A09",-0.114,-0.557,-1.796,-3.881,"19",3.72533219995211,0.568546392126447,-101.566877162964,191.566877162964,"G"
"CC034","P01","A10",-0.045,-0.537,0,-4.433,"1",3.89625987326308,0.538882176361401,-94.7901444083648,184.790144408365,"G"
"CC034","P01","A10",0.06,-0.507,2.448,-3.851,"2",4.10912156062582,0.51053795157657,-83.2508372303623,173.250837230362,"G"
"CC034","P01","A10",0.134,-0.403,3.806,-2.433,"3",4.19576977442757,0.424694007492453,-71.6077240393512,161.607724039351,"F"
"CC034","P01","A10",0.194,-0.239,4.343,-1.299,"4",4.28226587217562,0.307826249692907,-50.9332343998176,140.933234399818,"F"
"CC034","P01","A10",0.239,-0.06,4.657,-0.388,"5",4.43015891362827,0.246416314394969,-14.0926389682138,104.092638968214,"D"
"CC034","P01","A10",0.264,0.06,4.771,1.224,"6",4.65488399425807,0.270732340144283,12.804267913994,77.195732086006,"D"
"CC034","P01","A10",0.353,0.279,4.592,1.851,"7",4.52109555307118,0.449944441014666,38.3217308480862,51.6782691519138,"C"
"CC034","P01","A10",0.313,0.458,2.881,2.896,"8",3.54096992362262,0.554736874563067,55.651068088907,34.348931911093,"B"
"CC034","P01","A10",0.244,0.567,2.194,2.925,"9",3.05984705500128,0.617272225197279,66.716103194657,23.283896805343,"B"
"CC034","P01","A10",0.154,0.567,-0.095,3.204,"10",2.64872988430304,0.587541487896812,74.8047622736499,15.1952377263501,"B"
"CC034","P01","A10",0.055,0.557,-0.493,3.114,"11",2.61506271435314,0.559708852886927,84.3607204203781,5.63927957962194,"A"
"CC034","P01","A10",-0.035,0.547,-2.801,1.741,"12",3.01270509675275,0.548118600304715,93.6611145521618,356.338885447838,"A"
"CC034","P01","A10",-0.184,0.478,-3.498,1.483,"13",3.46303638444646,0.512191370485681,111.05358979521,338.94641020479,"L"
"CC034","P01","A10",-0.264,0.348,-4.154,1.453,"14",4.04389972674892,0.436806593356831,127.184724816433,322.815275183567,"L"
"CC034","P01","A10",-0.313,0.139,-4.721,1.035,"15",4.49814183858179,0.342476276550654,156.054520149798,293.945479850202,"K"
"CC034","P01","A10",-0.303,-0.1,-4.861,-0.279,"16",4.56151345498399,0.319075226239832,-161.735428177977,251.735428177977,"I"
"CC034","P01","A10",-0.294,-0.269,-4.592,-1.005,"17",4.36056189039899,0.398493412743548,-137.542567166233,227.542567166233,"I"
"CC034","P01","A10",-0.244,-0.468,-3.726,-2.408,"18",3.98596588043601,0.527787836161464,-117.536090078266,207.536090078267,"H"
"CC034","P01","A10",-0.144,-0.527,-1.687,-4.323,"19",4.0976169903982,0.546319503587415,-105.2827285942,195.2827285942,"H"
"CC034","P03","A01",-0.016,-0.712,0.299,-5.105,"1",4.40427905564577,0.712179752590594,-91.2873421217846,181.287342121785,"G"
"CC034","P03","A01",0.059,-0.649,5.172,-2.834,"2",5.5603052074504,0.651676300014048,-84.8055833366747,174.805583336675,"G"
"CC034","P03","A01",0.177,-0.543,4.889,-2.244,"3",5.00962523548419,0.57111995237428,-71.9457588161856,161.945758816186,"F"
"CC034","P03","A01",0.295,-0.39,5.656,-1.759,"4",5.53303551407363,0.489004089962446,-52.8957727314974,142.895772731497,"F"
"CC034","P03","A01",0.413,-0.248,6.306,-1.051,"5",5.94745811250487,0.481739556191932,-30.9841582206879,120.984158220688,"E"
"CC034","P03","A01",0.449,0.001,6.648,-0.118,"6",6.20014209514588,0.449001113584365,0.127607334189805,89.8723926658102,"D"
"CC034","P03","A01",0.461,0.248,6.211,1.5,"7",5.88472633178468,0.523473972609909,28.2785205773564,61.7214794226436,"C"
"CC034","P03","A01",0.472,0.472,5.987,1.937,"8",5.70626410184457,0.667508801440101,45.0000064971961,44.9999935028039,"B"
"CC034","P03","A01",0.354,0.649,5.219,2.633,"9",5.25399666920336,0.739267881082358,61.3895491975878,28.6104508024122,"B"
"CC034","P03","A01",0.248,0.72,1.559,3.33,"10",2.92075692244322,0.761514280890385,70.9940260542309,19.0059739457691,"B"
"CC034","P03","A01",0.094,0.779,1.571,3.909,"11",3.46098670901811,0.784650877779411,83.1195382782677,6.88046172173233,"A"
"CC034","P03","A01",0,0.756,-3.932,3.389,"12",4.73215733043609,0.756,90.0000129943923,359.999987005608,"A"
"CC034","P03","A01",-0.094,0.697,-3.33,4.416,"13",4.92977250996433,0.703310031209565,97.6807921878768,352.319207812123,"A"
"CC034","P03","A01",-0.26,0.59,-4.239,4.227,"14",5.39075226661363,0.644748012792595,113.782046851314,336.217953148686,"L"
"CC034","P03","A01",-0.39,0.484,-5.822,2.385,"15",5.7550347522843,0.621575417789346,128.861368971125,321.138631028875,"L"
"CC034","P03","A01",-0.472,0.283,-6.4,1.299,"16",6.01443596690496,0.55033898644381,149.05411970281,300.94588029719,"K"
"CC034","P03","A01",-0.496,0.071,-6.684,0.661,"17",6.21606338449022,0.501055885106642,171.85375091513,278.14624908487,"J"
"CC034","P03","A01",-0.508,-0.189,-6.412,-0.685,"18",5.92479805563025,0.54201937234752,-159.59244420477,249.59244420477,"I"
"CC034","P03","A01",-0.449,-0.401,-5.574,-1.878,"19",5.33358734811759,0.60199833886814,-138.232113610212,228.232113610212,"I"
"CC034","P03","A01",-0.354,-0.531,-4.109,-3.826,"20",4.9957031537112,0.638182575757126,-123.690085384616,213.690085384616,"H"
"CC034","P03","A01",-0.177,-0.638,-3.236,-4.334,"21",4.79769705171137,0.662097424855285,-105.505597398922,195.505597398922,"H"
"CC034","P03","A02",0.038,-1.074,-0.366,-6.494,"1",5.43503597044215,1.0746720429973,-87.9736330330604,177.97363303306,"G"
"CC034","P03","A02",0.164,-0.935,4.738,-4.851,"2",6.02133971803618,0.949273933066741,-80.0514708181509,170.051470818151,"G"
"CC034","P03","A02",0.265,-0.821,5.913,-3.411,"3",6.2135339381064,0.862708525517164,-72.1111192000589,162.111119200059,"F"
"CC034","P03","A02",0.366,-0.644,7.201,-1.011,"4",6.844845798117,0.740737470363151,-60.3894441408619,150.389444140862,"F"
"CC034","P03","A02",0.392,-0.379,7.517,-0.43,"5",7.12518252397789,0.545256820223278,-44.034021196842,134.034021196842,"E"
"CC034","P03","A02",0.442,-0.101,7.656,0.581,"6",7.24616588272722,0.453392765712026,-12.8714835888415,102.871483588841,"D"
"CC034","P03","A02",0.442,0.202,7.088,2.021,"7",6.89043373090548,0.485971192561864,24.561047631263,65.438952368737,"C"
"CC034","P03","A02",0.379,0.48,6.443,2.363,"8",6.34962872930379,0.611588914222617,51.7059742441694,38.2940257558306,"B"
"CC034","P03","A02",0.265,0.619,5.685,2.994,"9",5.91751848328334,0.673339438916213,66.8237653812354,23.1762346187646,"B"
"CC034","P03","A02",0.177,0.644,-0.518,4.498,"10",3.91616406704316,0.667880977420378,74.632031195108,15.367968804892,"B"
"CC034","P03","A02",0.076,0.657,-1.579,3.98,"11",3.71232460865157,0.661381130665216,83.4015174795426,6.59848252045744,"A"
"CC034","P03","A02",-0.076,0.67,-1.744,4.093,"12",3.80777533475913,0.674296670613166,96.4715747391337,353.528425260866,"A"
